Model,Algorithm,Species,Species_MeanAbsSHAP,Species_MaxStability,Species_BestRank,PA_SHAP,rCLR_SHAP,Dominant_Signal,SpeciesRank
OnlyMale,RandomForest,Prevotella copri,0.002230409112159635,0.0,77,0.00043957856970003935,0.0017908305424595955,rCLR,70
OnlyMale,RandomForest,Bacteroides xylanisolvens,0.002228763266350706,0.0,67,0.00029889156127362954,0.0019298717050770767,rCLR,71
OnlyMale,RandomForest,Proteobacteria bacterium CAG:139,0.0021699710576081194,0.0,68,0.00024438327654195674,0.0019255877810661626,rCLR,72
OnlyMale,RandomForest,Bifidobacterium adolescentis,0.0021358255630237557,0.0,82,0.000505210652843044,0.0016306149101807117,rCLR,73
OnlyMale,RandomForest,Bacteroides ovatus,0.002115738437622187,0.0,80,0.0004588773389873394,0.0016568610986348476,rCLR,74
OnlyMale,RandomForest,Erysipelatoclostridium ramosum,0.0020691456592458694,0.0,74,0.000253170431931805,0.0018159752273140643,rCLR,75
OnlyMale,RandomForest,Phocaeicola dorei,0.0020396515127730293,0.0,76,0.00023951908959006133,0.001800132423182968,rCLR,76
OnlyMale,RandomForest,Ruminococcus bicirculans,0.0020273545722548766,0.0,88,0.0004934928764586293,0.0015338616957962475,rCLR,77
OnlyMale,RandomForest,Eubacterium sp. CAG:180,0.0019965285398767167,0.0,92,0.0005365162205944325,0.0014600123192822843,rCLR,78
OnlyMale,RandomForest,Slackia isoflavoniconvertens,0.0019504079561839076,0.0,78,0.0002688941495294783,0.0016815138066544294,rCLR,79
OnlyMale,RandomForest,Phascolarctobacterium faecium,0.001932752491091551,0.0,89,0.00041092579508998216,0.0015218266960015689,rCLR,80
OnlyMale,RandomForest,Adlercreutzia equolifaciens,0.0019236034322125436,0.0,79,0.00024342118500196775,0.001680182247210576,rCLR,81
OnlyMale,RandomForest,Veillonella parvula,0.0019136112619692505,0.0,91,0.00044436443773261723,0.0014692468242366334,rCLR,82
OnlyMale,RandomForest,Phascolarctobacterium succinatutens,0.0018216154324563639,0.0,93,0.0003689504101814977,0.001452665022274866,rCLR,83
OnlyMale,RandomForest,Blautia wexlerae,0.0018019193690391197,0.0,84,0.0001817511758895637,0.001620168193149556,rCLR,84
OnlyMale,RandomForest,Streptococcus parasanguinis,0.0017994411033409707,0.0,85,0.00020775895150058725,0.0015916821518403834,rCLR,85
OnlyMale,RandomForest,Klebsiella variicola,0.0017962504355656806,0.0,83,0.00017501069505822793,0.0016212397405074527,rCLR,86
OnlyMale,RandomForest,Klebsiella quasipneumoniae,0.001793173525517767,0.0,87,0.00024005828941047253,0.0015531152361072944,rCLR,87
OnlyMale,RandomForest,Bacteroides uniformis,0.0017873760850714564,0.0,81,0.00014977270410920302,0.0016376033809622533,rCLR,88
OnlyMale,RandomForest,Firmicutes bacterium CAG:83,0.001784760439922704,0.0,86,0.00022368807073069072,0.0015610723691920133,rCLR,89
OnlyMale,RandomForest,Firmicutes bacterium CAG:110,0.0017313879135756602,0.0,90,0.00024247030189155247,0.0014889176116841079,rCLR,90
OnlyMale,RandomForest,Eggerthella lenta,0.001690286869466265,0.0,97,0.0003151616588128171,0.001375125210653448,rCLR,91
OnlyMale,RandomForest,Bacteroides stercoris,0.001643352975546907,0.0,113,0.0006017134779586458,0.0010416394975882612,rCLR,92
OnlyMale,RandomForest,Ruminococcus bromii,0.0016129243594002406,0.0,95,0.0002256718132539512,0.0013872525461462895,rCLR,93
OnlyMale,RandomForest,Barnesiella intestinihominis,0.0015998598928962586,0.0,98,0.0002351932136615467,0.001364666679234712,rCLR,94
OnlyMale,RandomForest,[Ruminococcus] gnavus,0.0015878922544021582,0.0,96,0.00020094525979922644,0.0013869469946029317,rCLR,95
OnlyMale,RandomForest,[Ruminococcus] lactaris,0.0015706802330351707,0.0,102,0.0002965223731678095,0.001274157859867361,rCLR,96
