Model,Algorithm,Feature,Feature_Type,Species,MeanAbsSHAP_Mean,MeanAbsSHAP_Median,MeanSignedSHAP_Mean,MeanRank,MedianRank,BestRank,N_Folds_Evaluated,N_Folds_TopK,Total_Folds,StabilityScore,MeanAbsSHAP_Scaled,ConsensusScore,ConsensusRank
OnlyMale,RandomForest,rCLR_Acidaminococcus intestini,rCLR,Acidaminococcus intestini,0.0025091543151698954,0.0021163666699740326,-0.0005891557808206159,68.1,61.5,6,10,1,10,0.1,0.07266011970712727,0.09043104189749454,40
OnlyMale,RandomForest,rCLR_Clostridium sp. CAG:58,rCLR,Clostridium sp. CAG:58,0.004202629359883333,0.004415499245803953,-0.0004768160702302222,29.0,26.0,22,10,0,10,0.0,0.1216997896572712,0.04259492638004492,41
OnlyMale,RandomForest,rCLR_Collinsella aerofaciens,rCLR,Collinsella aerofaciens,0.003957006762364627,0.0040295498051477335,1.6591377880280626e-05,31.6,29.0,24,10,0,10,0.0,0.11458704763475583,0.04010546667216454,42
OnlyMale,RandomForest,rCLR_Bacteroides salyersiae,rCLR,Bacteroides salyersiae,0.0034087467556929373,0.003481800078683892,-0.0010660830905966337,36.9,33.5,24,10,0,10,0.0,0.09871052801436013,0.03454868480502604,43
OnlyMale,RandomForest,rCLR_[Eubacterium] siraeum,rCLR,[Eubacterium] siraeum,0.0032213671333018363,0.0032474779633992912,3.954874390627932e-05,39.9,37.0,30,10,0,10,0.0,0.09328438673986787,0.032649535358953756,44
OnlyMale,RandomForest,rCLR_Blautia obeum,rCLR,Blautia obeum,0.0030614246010556142,0.0029986339269951925,0.0009080033466642507,47.7,45.0,24,10,0,10,0.0,0.08865276903942976,0.031028469163800414,45
OnlyMale,RandomForest,rCLR_Roseburia hominis,rCLR,Roseburia hominis,0.0029107594329979584,0.002992552520082941,4.287631331223634e-05,47.3,41.0,27,10,0,10,0.0,0.08428980535856805,0.029501431875498814,46
OnlyMale,RandomForest,rCLR_Desulfovibrio piger,rCLR,Desulfovibrio piger,0.0028773678982067143,0.0027028683364918125,-0.0008689663475983465,49.2,48.5,24,10,0,10,0.0,0.08332285290750996,0.029162998517628484,47
OnlyMale,RandomForest,rCLR_Coprobacter fastidiosus,rCLR,Coprobacter fastidiosus,0.0028571129850168556,0.003089648154534581,-0.001541389499002715,47.8,38.5,31,10,0,10,0.0,0.08273631089686724,0.028957708813903534,48
OnlyMale,RandomForest,rCLR_Oscillibacter sp. CAG:241,rCLR,Oscillibacter sp. CAG:241,0.002840403262164473,0.002594779114692587,0.0002875606250735948,51.4,48.5,24,10,0,10,0.0,0.08225243054905976,0.02878835069217091,49
OnlyMale,RandomForest,rCLR_Agathobaculum butyriciproducens,rCLR,Agathobaculum butyriciproducens,0.0027474954597105686,0.0026518826814582487,0.000550575893522473,47.3,50.0,22,10,0,10,0.0,0.07956200533000753,0.027846701865502633,50
OnlyMale,RandomForest,rCLR_Bifidobacterium longum,rCLR,Bifidobacterium longum,0.002683834964562997,0.002430963121513,-0.000364859719416904,52.7,55.0,25,10,0,10,0.0,0.07771852397452766,0.02720148339108468,51
OnlyMale,RandomForest,rCLR_Parabacteroides merdae,rCLR,Parabacteroides merdae,0.002647294140183593,0.002792210559282005,0.00018809166732688446,50.7,46.0,34,10,0,10,0.0,0.07666037435911638,0.026831131025690732,52
OnlyMale,RandomForest,rCLR_Veillonella atypica,rCLR,Veillonella atypica,0.00249655436776855,0.002680011995082477,-0.0005878736920658682,56.0,49.0,34,10,0,10,0.0,0.07229525028440974,0.025303337599543407,53
OnlyMale,RandomForest,rCLR_Adlercreutzia equolifaciens_1,rCLR,Adlercreutzia equolifaciens_1,0.002471396546788336,0.0023383448807578373,-0.000480859019748654,58.3,57.5,22,10,0,10,0.0,0.07156672981321302,0.025048355434624556,54
OnlyMale,RandomForest,rCLR_Phocaeicola plebeius,rCLR,Phocaeicola plebeius,0.0024509891391395846,0.0024536734217415423,-0.0007950406475688528,57.7,53.0,27,10,0,10,0.0,0.07097577186626426,0.02484152015319249,55
OnlyMale,RandomForest,PA_Methanobrevibacter smithii,PA,Methanobrevibacter smithii,0.0022661497772846822,0.0018641971672179322,5.474119203806496e-05,66.6,71.0,25,10,0,10,0.0,0.06562319148578781,0.02296811702002573,56
OnlyMale,RandomForest,rCLR_Roseburia inulinivorans,rCLR,Roseburia inulinivorans,0.002220698386463751,0.002211024768681574,0.0004998075226961389,60.2,52.0,43,10,0,10,0.0,0.0643070095842053,0.02250745335447185,57
OnlyMale,RandomForest,rCLR_Coprococcus comes,rCLR,Coprococcus comes,0.002209294233631434,0.002115985914910434,0.0006829859940365821,60.4,63.5,29,10,0,10,0.0,0.06397676799446138,0.02239186879806148,58
OnlyMale,RandomForest,rCLR_Lawsonibacter asaccharolyticus,rCLR,Lawsonibacter asaccharolyticus,0.0021988976787476267,0.002069697344517563,-0.0006079482486442409,63.5,65.0,35,10,0,10,0.0,0.06367570443777534,0.022286496553221367,59
OnlyMale,RandomForest,rCLR_Alistipes shahii,rCLR,Alistipes shahii,0.0021599381580265312,0.002237604051898121,0.00021917632194071298,63.8,56.5,37,10,0,10,0.0,0.06254751418570013,0.021891629964995045,60
OnlyMale,RandomForest,rCLR_Gemmiger formicilis,rCLR,Gemmiger formicilis,0.0021505159911012397,0.0020212039247771048,6.539375596684109e-05,62.9,61.0,32,10,0,10,0.0,0.06227466696679728,0.021796133438379047,61
OnlyMale,RandomForest,rCLR_Bacteroides sp. CAG:144,rCLR,Bacteroides sp. CAG:144,0.00207524924211379,0.0022191720278691217,-0.0006793343557688494,65.4,59.5,36,10,0,10,0.0,0.060095091578256814,0.021033282052389884,62
OnlyMale,RandomForest,rCLR_Phocaeicola vulgatus,rCLR,Phocaeicola vulgatus,0.002061299578104898,0.002004288153205592,-0.00019046032422459145,66.3,66.0,39,10,0,10,0.0,0.0596911370463923,0.0208918979662373,63
OnlyMale,RandomForest,rCLR_Blautia sp. CAG:257,rCLR,Blautia sp. CAG:257,0.0020349339848155174,0.0017873028325671456,-0.000602328408250834,73.0,72.0,26,10,0,10,0.0,0.05892764189068438,0.020624674661739534,64
OnlyMale,RandomForest,rCLR_Gordonibacter pamelaeae,rCLR,Gordonibacter pamelaeae,0.0020081897982897703,0.0015974905005526198,0.00039511430561458237,74.0,79.0,23,10,0,10,0.0,0.0581531834276548,0.02035361419967918,65
OnlyMale,RandomForest,rCLR_Holdemanella biformis,rCLR,Holdemanella biformis,0.0019720475090482586,0.0018065894631515934,0.00010021616461887602,73.7,70.0,28,10,0,10,0.0,0.05710657459738042,0.019987301109083148,66
OnlyMale,RandomForest,rCLR_Bacteroides xylanisolvens,rCLR,Bacteroides xylanisolvens,0.0019298717050770767,0.0018338844277190874,0.00012028760031313798,72.7,66.0,41,10,0,10,0.0,0.05588524717771436,0.019559836512200026,67
OnlyMale,RandomForest,rCLR_Proteobacteria bacterium CAG:139,rCLR,Proteobacteria bacterium CAG:139,0.0019255877810661626,0.0019756693802244424,-0.0006322878688200535,70.4,64.5,34,10,0,10,0.0,0.0557611932566114,0.019516417639813988,68
OnlyMale,RandomForest,rCLR_Klebsiella pneumoniae,rCLR,Klebsiella pneumoniae,0.0019234456338278754,0.0015442387100842634,0.0002982189063389509,76.9,82.5,29,10,0,10,0.0,0.055699160932085476,0.019494706326229915,69
OnlyMale,RandomForest,rCLR_Eubacterium sp. CAG:274,rCLR,Eubacterium sp. CAG:274,0.0018975947218645283,0.001862460029196827,-0.0003878163294847052,70.2,68.5,49,10,0,10,0.0,0.054950569924175297,0.019232699473461352,70
OnlyMale,RandomForest,rCLR_Bacteroides fragilis,rCLR,Bacteroides fragilis,0.0018598237953547005,0.0020618844689362474,0.00021740857691091535,75.5,65.0,42,10,0,10,0.0,0.05385679899703032,0.01884987964896061,71
OnlyMale,RandomForest,PA_Collinsella aerofaciens,PA,Collinsella aerofaciens,0.0018465531226886617,0.0017993135904580226,-5.149468162196641e-05,85.3,75.0,36,10,0,10,0.0,0.05347250670433281,0.018715377346516484,72
OnlyMale,RandomForest,rCLR_Enterocloster bolteae,rCLR,Enterocloster bolteae,0.0018205893026969199,0.0016730974938615729,-0.00041035689821756387,75.0,75.5,42,10,0,10,0.0,0.052720646104429246,0.018452226136550235,73
OnlyMale,RandomForest,rCLR_Erysipelatoclostridium ramosum,rCLR,Erysipelatoclostridium ramosum,0.0018159752273140643,0.0016756663964717267,8.999883404777972e-07,74.6,77.5,41,10,0,10,0.0,0.052587031656075436,0.0184054610796264,74
OnlyMale,RandomForest,rCLR_Streptococcus thermophilus,rCLR,Streptococcus thermophilus,0.0018130022494970764,0.0018504238808104527,0.0001764360383324825,73.0,69.5,48,10,0,10,0.0,0.05250094013003299,0.018375329045511545,75
OnlyMale,RandomForest,rCLR_Phocaeicola dorei,rCLR,Phocaeicola dorei,0.001800132423182968,0.0018246535469669339,-0.0002027338450330812,75.8,73.5,50,10,0,10,0.0,0.05212825555063527,0.018244889442722345,76
OnlyMale,RandomForest,rCLR_Prevotella copri,rCLR,Prevotella copri,0.0017908305424595955,0.0018299588712456282,0.0006408804152709843,73.6,71.0,46,10,0,10,0.0,0.05185889158096013,0.018150612053336044,77
OnlyMale,RandomForest,rCLR_Slackia isoflavoniconvertens,rCLR,Slackia isoflavoniconvertens,0.0016815138066544294,0.0014898376305094098,-0.0007873049025426829,80.0,80.5,43,10,0,10,0.0,0.04869329627995612,0.01704265369798464,78
OnlyMale,RandomForest,rCLR_Adlercreutzia equolifaciens,rCLR,Adlercreutzia equolifaciens,0.001680182247210576,0.0015290557687622822,-0.00023296219378233707,77.8,79.5,36,10,0,10,0.0,0.04865473696616557,0.017029157938157947,79
OnlyMale,RandomForest,rCLR_Bacteroides ovatus,rCLR,Bacteroides ovatus,0.0016568610986348476,0.0012796990569655057,0.00044197908531116135,86.4,96.5,31,10,0,10,0.0,0.04797940287572108,0.016792791006502376,80
OnlyMale,RandomForest,rCLR_Bacteroides uniformis,rCLR,Bacteroides uniformis,0.0016376033809622533,0.0015403327064560184,0.00035956602604326007,83.3,83.5,41,10,0,10,0.0,0.04742173766441182,0.016597608182544136,81
OnlyMale,RandomForest,rCLR_Bifidobacterium adolescentis,rCLR,Bifidobacterium adolescentis,0.0016306149101807117,0.0014835260825284606,3.2062971592582668e-06,83.2,87.5,43,10,0,10,0.0,0.04721936544661453,0.016526777906315085,82
OnlyMale,RandomForest,rCLR_Klebsiella variicola,rCLR,Klebsiella variicola,0.0016212397405074527,0.0016686168070755383,-0.0007065046050174678,81.7,79.5,55,10,0,10,0.0,0.046947879174680116,0.01643175771113804,83
OnlyMale,RandomForest,rCLR_Blautia wexlerae,rCLR,Blautia wexlerae,0.001620168193149556,0.0016011272249982999,0.00011644682889387742,80.6,82.0,59,10,0,10,0.0,0.04691684929388486,0.0164208972528597,84
OnlyMale,RandomForest,rCLR_Streptococcus parasanguinis,rCLR,Streptococcus parasanguinis,0.0015916821518403834,0.001445375518154345,0.0005806529839582351,81.5,82.5,47,10,0,10,0.0,0.046091950179871416,0.016132182562954994,85
OnlyMale,RandomForest,rCLR_Firmicutes bacterium CAG:83,rCLR,Firmicutes bacterium CAG:83,0.0015610723691920133,0.0016034876280842689,0.0003743021143380008,82.5,78.0,57,10,0,10,0.0,0.04520555173957097,0.01582194310884984,86
OnlyMale,RandomForest,rCLR_Klebsiella quasipneumoniae,rCLR,Klebsiella quasipneumoniae,0.0015531152361072944,0.0013987315927192758,0.0006850281911000486,87.8,87.5,33,10,0,10,0.0,0.04497512898758409,0.01574129514565443,87
OnlyMale,RandomForest,rCLR_Ruminococcus bicirculans,rCLR,Ruminococcus bicirculans,0.0015338616957962475,0.0014884685667186722,0.0002284131162049822,85.3,84.5,61,10,0,10,0.0,0.044417584744358876,0.015546154660525606,88
OnlyMale,RandomForest,rCLR_Phascolarctobacterium faecium,rCLR,Phascolarctobacterium faecium,0.0015218266960015689,0.0014421756552069295,0.00018681421765541218,85.6,83.0,47,10,0,10,0.0,0.04406907508097558,0.015424176278341452,89
OnlyMale,RandomForest,rCLR_Firmicutes bacterium CAG:110,rCLR,Firmicutes bacterium CAG:110,0.0014889176116841079,0.0014525573638469896,-5.130481015144459e-06,86.4,83.5,47,10,0,10,0.0,0.043116093436322625,0.015090632702712917,90
OnlyMale,RandomForest,rCLR_Veillonella parvula,rCLR,Veillonella parvula,0.0014692468242366334,0.0014643586331809521,-0.0002749861758153999,87.8,86.5,64,10,0,10,0.0,0.04254646654569028,0.014891263290991597,91
OnlyMale,RandomForest,rCLR_Eubacterium sp. CAG:180,rCLR,Eubacterium sp. CAG:180,0.0014600123192822843,0.0013047677232894996,-0.0004102913657003912,89.1,92.5,46,10,0,10,0.0,0.042279053644314536,0.014797668775510087,92
OnlyMale,RandomForest,rCLR_Phascolarctobacterium succinatutens,rCLR,Phascolarctobacterium succinatutens,0.001452665022274866,0.0013956092817872033,0.0003914133665431064,85.9,85.5,54,10,0,10,0.0,0.042066290532514185,0.014723201686379963,93
OnlyMale,RandomForest,PA_Akkermansia muciniphila,PA,Akkermansia muciniphila,0.0014373767773948084,0.0012886390533008078,0.00031794083157255746,92.0,91.5,40,10,0,10,0.0,0.04162357336028572,0.014568250676100002,94
OnlyMale,RandomForest,rCLR_Ruminococcus bromii,rCLR,Ruminococcus bromii,0.0013872525461462895,0.0013130657131171695,0.0004384711651724903,92.0,90.0,43,10,0,10,0.0,0.040172075291503725,0.014060226352026303,95
OnlyMale,RandomForest,rCLR_[Ruminococcus] gnavus,rCLR,[Ruminococcus] gnavus,0.0013869469946029317,0.0013723832994107727,0.00015359552961206077,89.4,89.5,66,10,0,10,0.0,0.0401632271263738,0.01405712949423083,96
OnlyMale,RandomForest,rCLR_Eggerthella lenta,rCLR,Eggerthella lenta,0.001375125210653448,0.001252356521424211,0.00010097708309935444,91.3,95.0,64,10,0,10,0.0,0.03982089176990406,0.01393731211946642,97
OnlyMale,RandomForest,rCLR_Barnesiella intestinihominis,rCLR,Barnesiella intestinihominis,0.001364666679234712,0.0014706416502823173,0.000564301369464383,92.5,86.0,60,10,0,10,0.0,0.03951803349600206,0.01383131172360072,98
OnlyMale,RandomForest,rCLR_Streptococcus salivarius,rCLR,Streptococcus salivarius,0.0013529222953892384,0.001333565072602092,0.0003638321450469714,92.6,94.0,63,10,0,10,0.0,0.0391779394926403,0.013712278822424104,99
OnlyMale,RandomForest,rCLR_Coprococcus eutactus,rCLR,Coprococcus eutactus,0.0013335239421708655,0.0013727979783512449,-0.000134472311860419,93.3,91.0,69,10,0,10,0.0,0.03861620175556825,0.013515670614448886,100
OnlyMale,RandomForest,rCLR_Anaerotignum lactatifermentans,rCLR,Anaerotignum lactatifermentans,0.001280132357916262,0.001064313849133668,0.0005799966761693768,97.5,107.0,51,10,0,10,0.0,0.03707008764060996,0.012974530674213487,101
OnlyMale,RandomForest,rCLR_[Ruminococcus] lactaris,rCLR,[Ruminococcus] lactaris,0.001274157859867361,0.0011148519557163206,-0.00017345340007615914,96.5,99.5,57,10,0,10,0.0,0.03689707805694323,0.01291397731993013,102
OnlyMale,RandomForest,rCLR_Bacteroides eggerthii,rCLR,Bacteroides eggerthii,0.001245231561556147,0.0011444048774160004,0.00010067198274289714,98.0,100.0,71,10,0,10,0.0,0.03605942997556782,0.012620800491448736,103
OnlyMale,RandomForest,rCLR_Alistipes inops,rCLR,Alistipes inops,0.001229512568587433,0.0011460115461884854,0.00021362357705684426,98.8,99.5,56,10,0,10,0.0,0.03560423919520128,0.012461483718320447,104
OnlyMale,RandomForest,rCLR_Dialister invisus,rCLR,Dialister invisus,0.0012057498225595666,0.001123791778067043,0.0003499166535494905,99.0,101.5,81,10,0,10,0.0,0.03491611732062541,0.012220641062218894,105
OnlyMale,RandomForest,rCLR_Bacteroides finegoldii,rCLR,Bacteroides finegoldii,0.0011738535110626795,0.0011284992074276888,0.0004971575144745598,100.4,101.0,74,10,0,10,0.0,0.033992463563035494,0.011897362247062422,106
OnlyMale,RandomForest,rCLR_Intestinibacter bartlettii,rCLR,Intestinibacter bartlettii,0.0011445042502772336,0.0009574388654425267,0.0002513406421340788,102.9,109.0,57,10,0,10,0.0,0.03314256732943465,0.011599898565302127,107
OnlyMale,RandomForest,PA_Anaerotignum lactatifermentans,PA,Anaerotignum lactatifermentans,0.0011442561778767524,0.0011306420647529708,-0.00010250926894902445,101.8,97.5,73,10,0,10,0.0,0.033135383645989586,0.011597384276096355,108
OnlyMale,RandomForest,rCLR_Parasutterella excrementihominis,rCLR,Parasutterella excrementihominis,0.0011196980182622547,0.000938911402568562,0.0003038491969977428,102.9,106.0,64,10,0,10,0.0,0.032424228175563556,0.011348479861447243,109
OnlyMale,RandomForest,PA_Bifidobacterium pseudocatenulatum,PA,Bifidobacterium pseudocatenulatum,0.0011192102048052967,0.0010878956668641476,0.0001980798879595627,109.4,103.5,69,10,0,10,0.0,0.03241010206782956,0.011343535723740344,110
OnlyMale,RandomForest,rCLR_Eubacterium ramulus,rCLR,Eubacterium ramulus,0.0010994518308935753,0.0009662089398140823,0.00018344929637583463,105.2,111.0,56,10,0,10,0.0,0.03183793884735157,0.011143278596573047,111
OnlyMale,RandomForest,rCLR_Bacteroides intestinalis,rCLR,Bacteroides intestinalis,0.0010536904299536293,0.0008808828969992357,0.00030098456360722975,106.9,113.5,44,10,0,10,0.0,0.03051277966915364,0.010679472884203773,112
OnlyMale,RandomForest,rCLR_Bacteroides stercoris,rCLR,Bacteroides stercoris,0.0010416394975882612,0.0009803147349258397,0.00020525234872040732,108.3,109.0,81,10,0,10,0.0,0.03016380863020387,0.010557333020571354,113
OnlyMale,RandomForest,PA_Roseburia intestinalis,PA,Roseburia intestinalis,0.0010202380326714221,0.0009325924276735278,1.6770708143851762e-06,105.1,109.0,82,10,0,10,0.0,0.029544064761377643,0.010340422666482175,114
OnlyMale,RandomForest,PA_Eubacterium sp. CAG:274,PA,Eubacterium sp. CAG:274,0.0009941426402100275,0.0008653097884561657,2.860859036791696e-05,111.7,115.0,66,10,0,10,0.0,0.02878839408437466,0.01007593792953113,115
