comparison,feature_type,feature,species,positive_group,negative_group,effect_name,effect,p_value,q_value,significant_fdr_0_05
CRC_vs_Adenoma,PA,PA_Prevotella copri,Prevotella copri,CRC,Adenoma,prevalence_difference,0.12369597615499256,0.001904892252388634,0.01698528925046532,True
CRC_vs_Adenoma,PA,PA_Phocaeicola vulgatus,Phocaeicola vulgatus,CRC,Adenoma,prevalence_difference,0.08832065260020394,0.002170017564665217,0.01786091380147525,True
Adenoma_vs_Control,PA,PA_Bacteroides xylanisolvens,Bacteroides xylanisolvens,Adenoma,Control,prevalence_difference,-0.12711131607770787,0.0008767186897791878,0.01798104611034726,True
Adenoma_vs_Control,PA,PA_Lachnospira eligens,Lachnospira eligens,Adenoma,Control,prevalence_difference,-0.12613852539343984,0.0009736537058874816,0.01798104611034726,True
Adenoma_vs_Control,PA,PA_Parasutterella excrementihominis,Parasutterella excrementihominis,Adenoma,Control,prevalence_difference,-0.1291938087277339,0.0010082829594587248,0.01798104611034726,True
CRC_vs_Adenoma,PA,PA_Butyricimonas virosa,Butyricimonas virosa,CRC,Adenoma,prevalence_difference,0.12126441289512901,0.002389256854584701,0.018260748817183075,True
CRC_vs_Control,rCLR,rCLR_[Ruminococcus] torques,[Ruminococcus] torques,CRC,Control,mean_rCLR_difference,0.22013327710124309,0.003514366137035993,0.018801858833142563,True
CRC_vs_Control,PA,PA_Collinsella aerofaciens,Collinsella aerofaciens,CRC,Control,prevalence_difference,0.06163925448440555,0.0023945292327883774,0.019014707216957766,True
CRC_vs_Control,PA,PA_Eubacterium sp. CAG:180,Eubacterium sp. CAG:180,CRC,Control,prevalence_difference,0.08127143447111845,0.002487905617172044,0.019014707216957766,True
CRC_vs_Adenoma,rCLR,rCLR_Gordonibacter pamelaeae,Gordonibacter pamelaeae,CRC,Adenoma,mean_rCLR_difference,-0.40628166129517096,0.0011105269597068987,0.019804397448106362,True
Adenoma_vs_Control,PA,PA_Bifidobacterium pseudocatenulatum,Bifidobacterium pseudocatenulatum,Adenoma,Control,prevalence_difference,-0.12742116792528962,0.0013325380213531032,0.020368795469254578,True
CRC_vs_Control,rCLR,rCLR_Alistipes finegoldii,Alistipes finegoldii,CRC,Control,mean_rCLR_difference,0.2528308085734392,0.004094680180017347,0.02086337044104077,True
CRC_vs_Control,rCLR,rCLR_Coprococcus comes,Coprococcus comes,CRC,Control,mean_rCLR_difference,-0.21849809894380995,0.00458669610583308,0.02230802196927907,True
CRC_vs_Adenoma,PA,PA_Megamonas funiformis,Megamonas funiformis,CRC,Adenoma,prevalence_difference,0.0869872146835046,0.003170255466724921,0.022614488995971106,True
CRC_vs_Control,rCLR,rCLR_Bifidobacterium longum,Bifidobacterium longum,CRC,Control,mean_rCLR_difference,-0.26338462914975713,0.005793336588211774,0.026951609345159125,True
CRC_vs_Control,rCLR,rCLR_Oscillibacter sp. CAG:241,Oscillibacter sp. CAG:241,CRC,Control,mean_rCLR_difference,0.1577569621856888,0.007090850181579069,0.030348838777158414,True
CRC_vs_Control,rCLR,rCLR_Clostridium sp. CAG:58,Clostridium sp. CAG:58,CRC,Control,mean_rCLR_difference,0.14107325702467838,0.007041015522553569,0.030348838777158414,True
CRC_vs_Adenoma,rCLR,rCLR_Streptococcus thermophilus,Streptococcus thermophilus,CRC,Adenoma,mean_rCLR_difference,-0.35959844051591616,0.002173649322359398,0.03322578249892223,True
CRC_vs_Adenoma,rCLR,rCLR_Clostridium sp. CAG:58,Clostridium sp. CAG:58,CRC,Adenoma,mean_rCLR_difference,0.21492263807245002,0.0024900847116102963,0.033304883017787716,True
CRC_vs_Control,rCLR,rCLR_Butyricimonas virosa,Butyricimonas virosa,CRC,Control,mean_rCLR_difference,0.22744861121455773,0.008522835506747088,0.03507474612392071,True
Adenoma_vs_Control,rCLR,rCLR_Roseburia intestinalis,Roseburia intestinalis,Adenoma,Control,mean_rCLR_difference,-0.36387547930755726,0.0013431889354132058,0.03593030402230326,True
CRC_vs_Adenoma,rCLR,rCLR_Intestinibacter bartlettii,Intestinibacter bartlettii,CRC,Adenoma,mean_rCLR_difference,-0.3215604628859829,0.0031802612638563866,0.03780977280362593,True
CRC_vs_Adenoma,rCLR,rCLR_Oscillibacter sp. 57_20,Oscillibacter sp. 57_20,CRC,Adenoma,mean_rCLR_difference,0.1596643554446724,0.0036599082240019705,0.03916101799682108,True
Adenoma_vs_Control,PA,PA_Flavonifractor plautii,Flavonifractor plautii,Adenoma,Control,prevalence_difference,-0.08933821410042075,0.0030812662149462895,0.041211935624906625,True
CRC_vs_Control,PA,PA_Lachnospira eligens,Lachnospira eligens,CRC,Control,prevalence_difference,-0.07138913328425478,0.0064242234736659005,0.04219651895153578,True
CRC_vs_Control,PA,PA_Roseburia faecis,Roseburia faecis,CRC,Control,prevalence_difference,-0.07149911119889385,0.006002694607129889,0.04219651895153578,True
CRC_vs_Control,PA,PA_Parabacteroides merdae,Parabacteroides merdae,CRC,Control,prevalence_difference,0.06753990627188333,0.007098479823622841,0.04219651895153578,True
CRC_vs_Control,PA,PA_Butyricimonas virosa,Butyricimonas virosa,CRC,Control,prevalence_difference,0.07359766936598855,0.007024144114632966,0.04219651895153578,True
CRC_vs_Adenoma,rCLR,rCLR_Flavonifractor plautii,Flavonifractor plautii,CRC,Adenoma,mean_rCLR_difference,0.33438815789425647,0.004509453546147621,0.043864684494345045,True
Adenoma_vs_Control,PA,PA_Enterocloster bolteae,Enterocloster bolteae,Adenoma,Control,prevalence_difference,-0.11614400184469936,0.003852933197133354,0.045807094677029876,True
CRC_vs_Adenoma,rCLR,rCLR_Anaerobutyricum hallii,Anaerobutyricum hallii,CRC,Adenoma,mean_rCLR_difference,-0.37831519470840735,0.005587121034365267,0.0459863038982372,True
CRC_vs_Adenoma,rCLR,rCLR_Desulfovibrio piger,Desulfovibrio piger,CRC,Adenoma,mean_rCLR_difference,0.10445524599694536,0.005484753147718393,0.0459863038982372,True
CRC_vs_Adenoma,PA,PA_Bacteroides stercoris,Bacteroides stercoris,CRC,Adenoma,prevalence_difference,0.10534159541924859,0.00789294535333157,0.05103460652618734,False
CRC_vs_Adenoma,PA,PA_Roseburia intestinalis,Roseburia intestinalis,CRC,Adenoma,prevalence_difference,-0.10557690799278374,0.008108301971450325,0.05103460652618734,False
CRC_vs_Control,PA,PA_Flavonifractor plautii,Flavonifractor plautii,CRC,Control,prevalence_difference,0.04612339073133076,0.009157401684001254,0.05157063053621759,False
CRC_vs_Adenoma,rCLR,rCLR_Ruthenibacterium lactatiformans,Ruthenibacterium lactatiformans,CRC,Adenoma,mean_rCLR_difference,0.3247005670171037,0.007142475385755954,0.05458891901970622,False
CRC_vs_Control,rCLR,rCLR_Collinsella aerofaciens,Collinsella aerofaciens,CRC,Control,mean_rCLR_difference,0.24175293662294495,0.0146034356097494,0.05787287445345133,False
CRC_vs_Adenoma,PA,PA_Klebsiella pneumoniae,Klebsiella pneumoniae,CRC,Adenoma,prevalence_difference,0.08824221507569222,0.009755406658647896,0.057990472915295826,False
CRC_vs_Adenoma,PA,PA_[Ruminococcus] gnavus,[Ruminococcus] gnavus,CRC,Adenoma,prevalence_difference,0.0890265903208094,0.01227720646784886,0.06255529009808705,False
CRC_vs_Adenoma,PA,PA_Adlercreutzia equolifaciens_1,Adlercreutzia equolifaciens_1,CRC,Adenoma,prevalence_difference,-0.0978900305906345,0.012211889435689023,0.06255529009808705,False
CRC_vs_Adenoma,PA,PA_Bacteroides salyersiae,Bacteroides salyersiae,CRC,Adenoma,prevalence_difference,0.08235940073731274,0.012148650182189295,0.06255529009808705,False
CRC_vs_Adenoma,rCLR,rCLR_Anaerostipes hadrus,Anaerostipes hadrus,CRC,Adenoma,mean_rCLR_difference,-0.415315640545442,0.009619971388547406,0.06292168895476413,False
CRC_vs_Adenoma,rCLR,rCLR_Bacteroides uniformis,Bacteroides uniformis,CRC,Adenoma,mean_rCLR_difference,0.3989145604854998,0.0098288616958927,0.06292168895476413,False
CRC_vs_Adenoma,rCLR,rCLR_Blautia wexlerae,Blautia wexlerae,CRC,Adenoma,mean_rCLR_difference,-0.3846239022310621,0.01058495702042761,0.06292168895476413,False
CRC_vs_Adenoma,rCLR,rCLR_Bacteroides caccae,Bacteroides caccae,CRC,Adenoma,mean_rCLR_difference,0.23114819969937578,0.010582866204640107,0.06292168895476413,False
CRC_vs_Adenoma,rCLR,rCLR_Gemmiger formicilis,Gemmiger formicilis,CRC,Adenoma,mean_rCLR_difference,-0.28260764935436183,0.011661815127916138,0.06389477404699152,False
CRC_vs_Adenoma,rCLR,rCLR_Adlercreutzia equolifaciens,Adlercreutzia equolifaciens,CRC,Adenoma,mean_rCLR_difference,-0.3405384987172272,0.011942948419998415,0.06389477404699152,False
CRC_vs_Adenoma,rCLR,rCLR_Eubacterium sp. CAG:274,Eubacterium sp. CAG:274,CRC,Adenoma,mean_rCLR_difference,-0.16883146667108703,0.012964805356585745,0.06421604574405378,False
CRC_vs_Adenoma,rCLR,rCLR_Phascolarctobacterium faecium,Phascolarctobacterium faecium,CRC,Adenoma,mean_rCLR_difference,0.14097445921517326,0.013203299124945635,0.06421604574405378,False
CRC_vs_Control,PA,PA_Bacteroides salyersiae,Bacteroides salyersiae,CRC,Control,prevalence_difference,0.05625258111432316,0.012466877627900365,0.06669779530926695,False
Adenoma_vs_Control,PA,PA_Bacteroides ovatus,Bacteroides ovatus,Adenoma,Control,prevalence_difference,-0.09537672219980409,0.006412592298934289,0.06861473759859689,False
Adenoma_vs_Control,PA,PA_Phocaeicola vulgatus,Phocaeicola vulgatus,Adenoma,Control,prevalence_difference,-0.07799619530754598,0.00777578993533205,0.07563722937095721,False
CRC_vs_Control,rCLR,rCLR_Eubacterium sp. CAG:274,Eubacterium sp. CAG:274,CRC,Control,mean_rCLR_difference,-0.09234510329332687,0.020704937254629272,0.0785366190221727,False
CRC_vs_Control,rCLR,rCLR_Parabacteroides merdae,Parabacteroides merdae,CRC,Control,mean_rCLR_difference,0.08551832607571475,0.021285625716289794,0.0785366190221727,False
CRC_vs_Control,PA,PA_Parabacteroides distasonis,Parabacteroides distasonis,CRC,Control,prevalence_difference,0.04646903560591098,0.0162132808899064,0.08261052643904689,False
CRC_vs_Control,PA,PA_Holdemanella biformis,Holdemanella biformis,CRC,Control,prevalence_difference,0.05851049503528269,0.017302424306423793,0.0840882251252753,False
CRC_vs_Control,PA,PA_Prevotella copri,Prevotella copri,CRC,Control,prevalence_difference,0.06564559280340437,0.018075039045619926,0.0840882251252753,False
CRC_vs_Control,PA,PA_[Ruminococcus] lactaris,[Ruminococcus] lactaris,CRC,Control,prevalence_difference,-0.06233278868080372,0.020258406406737782,0.08522372148347501,False
CRC_vs_Control,PA,PA_[Ruminococcus] gnavus,[Ruminococcus] gnavus,CRC,Control,prevalence_difference,0.05831522812561718,0.019766132875562323,0.08522372148347501,False
CRC_vs_Control,PA,PA_Phocaeicola coprocola,Phocaeicola coprocola,CRC,Control,prevalence_difference,0.05046415168872209,0.020708567837106076,0.08522372148347501,False
Adenoma_vs_Control,PA,PA_Streptococcus salivarius,Streptococcus salivarius,Adenoma,Control,prevalence_difference,-0.06753329105897277,0.009625569680993403,0.08582799632219118,False
