feature,species,categories,is_early,is_late,is_progression,is_ordered_increasing,is_ordered_decreasing,best_trend_direction,best_trend_q,q_crc_vs_control,q_adenoma_vs_control,q_crc_vs_adenoma,mean_control,mean_adenoma,mean_crc,adenoma_position_between_control_crc
rCLR_Klebsiella quasipneumoniae,Klebsiella quasipneumoniae,NOT_SIGNIFICANT_BY_FDR,False,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.3101937999237809,0.2423563911862585,0.7100095578405444,-0.20882748357625372,-0.0878650970773741,-0.1505809029956052,2.0767294027053564
rCLR_Klebsiella variicola,Klebsiella variicola,NOT_SIGNIFICANT_BY_FDR,False,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.6047528238814505,0.2423563911862585,0.47017017951070633,-0.2223055783645566,-0.11492757605886403,-0.18813347656678825,3.1422709361326144
rCLR_Lachnospira eligens,Lachnospira eligens,EARLY,True,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.00016209292007288642,0.0009137447286433429,0.49756399713876,0.9368995308299001,0.3919112852534972,0.4893344177497308,1.217673651607387
rCLR_Lachnospira pectinoschiza,Lachnospira pectinoschiza,LATE,False,True,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.0007465546666896148,0.09408828551004796,0.9283028255846899,0.4943943166972711,0.15972344943479047,0.17551483940292806,1.0495214997908482
rCLR_Lawsonibacter asaccharolyticus,Lawsonibacter asaccharolyticus,NOT_SIGNIFICANT_BY_FDR,False,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.8704439773656785,0.39441824856484203,0.4925483720277949,-1.3129003387029865,-1.1201136291174576,-1.2380941975488744,2.5771508409765285
rCLR_Megamonas funiformis,Megamonas funiformis,NOT_SIGNIFICANT_BY_FDR,False,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.9729640400128703,0.2423563911862585,0.3431084804816105,0.026778783341327567,-0.0893107873066321,0.020438063950564023,18.30858038238785
rCLR_Methanobrevibacter smithii,Methanobrevibacter smithii,NOT_SIGNIFICANT_BY_FDR,False,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.5895484535538235,0.2423563911862585,0.49756399713876,0.00584099094202296,0.18571652650488696,0.031777327627070515,6.9352714590015045
rCLR_Odoribacter splanchnicus,Odoribacter splanchnicus,LATE;PROGRESSION,False,True,True,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.0007465546666896148,0.3600323170530352,0.000714943402234832,-0.018254003111414143,-0.17225476110252894,0.22953340203735925,-0.6215035743993993
rCLR_Oscillibacter sp. 57_20,Oscillibacter sp. 57_20,PROGRESSION,False,False,True,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.323737617144706,0.2423563911862585,0.03916101799682108,0.005352169055233458,-0.15362211433582987,0.006042241108842529,-230.37345529300765
rCLR_Oscillibacter sp. CAG:241,Oscillibacter sp. CAG:241,LATE,False,True,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.030348838777158414,0.20265874930423033,0.8942974617817265,-0.6623469945451528,-0.3960442892201797,-0.504590032359464,1.6880567528393444
rCLR_Parabacteroides distasonis,Parabacteroides distasonis,LATE;PROGRESSION,False,True,True,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.0007465546666896148,0.10971275483437475,1.966533472048268e-05,0.9919602883105951,0.6919959559818566,1.2937111779010315,-0.994079363729059
rCLR_Parabacteroides merdae,Parabacteroides merdae,PROGRESSION,False,False,True,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.0785366190221727,0.09135582511051316,0.000714943402234832,0.6416170449740652,0.2859594328162767,0.72713537104978,-4.1588467464026655
rCLR_Paraprevotella xylaniphila,Paraprevotella xylaniphila,LATE,False,True,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.0022919943856620465,0.40729370265832326,0.48432795740228274,0.07467832756278785,-0.05802509913096684,-0.05728558456802318,1.0056039151234817
rCLR_Parasutterella excrementihominis,Parasutterella excrementihominis,NOT_SIGNIFICANT_BY_FDR,False,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.6047528238814505,0.9314195784864652,0.6017556783605038,-0.46919826141163423,-0.44968670674788164,-0.534886922178871,-0.2970307878994586
rCLR_Parvimonas micra,Parvimonas micra,LATE,False,True,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.0031669407786750203,0.9314195784864652,0.13787930043657595,-0.4741888819090947,-0.47126315738573804,-0.721715414812516,-0.011819842055066473
rCLR_Phascolarctobacterium faecium,Phascolarctobacterium faecium,NOT_SIGNIFICANT_BY_FDR,False,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.2607726669304675,0.39441824856484203,0.06421604574405378,-0.15261949378253234,-0.23250936778532064,-0.09153490857014739,-1.3078565357367862
rCLR_Phascolarctobacterium succinatutens,Phascolarctobacterium succinatutens,ORDERED_INCREASING,False,False,False,True,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.2112877502496392,0.5089158792857273,0.8986206887118251,0.4342340674720227,0.5027772170668416,0.5129809300764693,0.8704238788422352
rCLR_Phocaeicola coprocola,Phocaeicola coprocola,NOT_SIGNIFICANT_BY_FDR,False,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.5895484535538235,0.45173176582443747,0.8042659408977536,0.24696971273986196,0.13422084592176,0.19739604311861333,2.2743699968052136
rCLR_Phocaeicola dorei,Phocaeicola dorei,NOT_SIGNIFICANT_BY_FDR,False,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.6047528238814505,0.9314195784864652,0.8742022969785419,0.5968730885430936,0.6322462882181014,0.547274240333428,-0.7131859095896169
rCLR_Phocaeicola massiliensis,Phocaeicola massiliensis,NOT_SIGNIFICANT_BY_FDR,False,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.9729640400128703,0.5089158792857273,0.5724792689985059,0.1563824390143328,-0.006154071067766344,0.13101639043315702,6.407640100583817
