feature,species,n_control,n_adenoma,n_crc,mean_control,mean_adenoma,mean_crc,median_control,median_adenoma,median_crc,gradient_mean_crc_minus_control,adenoma_position_between_control_crc,jt_J_increasing,jt_z_increasing,jt_p_increasing,jt_J_decreasing,jt_z_decreasing,jt_p_decreasing,p_crc_vs_control,cliffs_delta_crc_vs_control,p_adenoma_vs_control,cliffs_delta_adenoma_vs_control,p_crc_vs_adenoma,cliffs_delta_crc_vs_adenoma,monotonic_increasing_means,monotonic_decreasing_means,jt_q_increasing,jt_q_decreasing,q_crc_vs_control,q_adenoma_vs_control,q_crc_vs_adenoma,best_trend_direction,best_trend_q
rCLR_Parasutterella excrementihominis,Parasutterella excrementihominis,664,209,671,-0.46919826141163423,-0.44968670674788164,-0.534886922178871,0.0,0.0,0.0,-0.06568866076723678,-0.2970307878994586,355306.5,50.98814561228234,0.0,369252.5,55.07090353656404,0.0,0.4272313904234307,-0.02272951717451026,0.805086475146707,0.01020349339943506,0.35430474520291344,-0.03732913098353525,False,False,0.0,0.0,0.6047528238814505,0.9314195784864652,0.6017556783605038,increasing_Control_to_Adenoma_to_CRC,0.0
rCLR_Parvimonas micra,Parvimonas micra,664,209,671,-0.4741888819090947,-0.47126315738573804,-0.721715414812516,0.0,0.0,0.0,-0.2475265329034213,-0.011819842055066473,336692.0,45.53866207710797,0.0,387867.0,60.5203870717384,0.0,0.0004735612379327133,-0.086927441509705,0.8269613080020017,-0.0059376261024961085,0.03350338141449509,-0.08286567930461569,False,False,0.0,0.0,0.0031669407786750203,0.9314195784864652,0.13787930043657595,increasing_Control_to_Adenoma_to_CRC,0.0
rCLR_Phascolarctobacterium faecium,Phascolarctobacterium faecium,664,209,671,-0.15261949378253234,-0.23250936778532064,-0.09153490857014739,0.0,0.0,0.0,0.061084585212384954,-1.3078565357367862,375397.0,56.86973517759006,0.0,349162.0,49.18931397125632,0.0,0.10723362004617355,0.04441312193632952,0.17922053378220848,-0.051348936415518534,0.013203299124945635,0.09678477456342387,False,False,0.0,0.0,0.2607726669304675,0.39441824856484203,0.06421604574405378,increasing_Control_to_Adenoma_to_CRC,0.0
rCLR_Phascolarctobacterium succinatutens,Phascolarctobacterium succinatutens,664,209,671,0.4342340674720227,0.5027772170668416,0.5129809300764693,0.0,0.0,0.0,0.07874686260444658,0.8704238788422352,375884.5,57.01245312453451,0.0,348674.5,49.04659602431187,0.0,0.07028058794756466,0.046751835957840306,0.2996420597663628,0.037765896120366634,0.8314340951632774,0.008121849128986943,True,False,0.0,0.0,0.2112877502496392,0.5089158792857273,0.8986206887118251,increasing_Control_to_Adenoma_to_CRC,0.0
rCLR_Phocaeicola coprocola,Phocaeicola coprocola,664,209,671,0.24696971273986196,0.13422084592176,0.19739604311861333,0.0,0.0,0.0,-0.04957366962124862,2.2743699968052136,356935.0,51.46489674376755,0.0,367624.0,54.59415240507882,0.0,0.39708947369316294,-0.018251844935629254,0.2533075322380023,-0.03373782210180434,0.6371492971014395,0.015152703598856239,False,False,0.0,0.0,0.5895484535538235,0.45173176582443747,0.8042659408977536,increasing_Control_to_Adenoma_to_CRC,0.0
rCLR_Phocaeicola dorei,Phocaeicola dorei,664,209,671,0.5968730885430936,0.6322462882181014,0.547274240333428,0.0,0.0,0.0,-0.04959884820966565,-0.7131859095896169,355118.0,50.932961339463816,0.0,369441.0,55.12608780938256,0.0,0.4315606165716601,-0.024361230316197725,0.8123449602477775,-0.01067907995618839,0.7516505731030454,-0.014168669200436398,False,False,0.0,0.0,0.6047528238814505,0.9314195784864652,0.8742022969785419,increasing_Control_to_Adenoma_to_CRC,0.0
rCLR_Phocaeicola massiliensis,Phocaeicola massiliensis,664,209,671,0.1563824390143328,-0.006154071067766344,0.13101639043315702,0.0,0.0,0.0,-0.025366048581175776,6.407640100583817,361579.0,52.82444986296762,0.0,362980.0,53.23459928587875,0.0,0.9274984306664745,-0.002459914172337637,0.2950202283320511,-0.04064103303164812,0.32814327322372483,0.03804219938818731,False,False,0.0,0.0,0.9729640400128703,0.5089158792857273,0.5724792689985059,increasing_Control_to_Adenoma_to_CRC,0.0
rCLR_Phocaeicola plebeius,Phocaeicola plebeius,664,209,671,0.5213285747548642,0.23981701180025045,0.5327657060738057,0.0,0.0,0.0,0.011437131318941529,-24.61382623878684,366749.0,54.33799198748622,0.0,357810.0,51.72105716136016,0.0,0.588481425459749,0.01462481819977376,0.05992602251155858,-0.0697959301320113,0.029413840888830697,0.08634545311931774,False,False,0.0,0.0,0.7586447292071463,0.2423563911862585,0.1299377823578968,increasing_Control_to_Adenoma_to_CRC,0.0
rCLR_Phocaeicola vulgatus,Phocaeicola vulgatus,664,209,671,1.9947898234172674,1.2801877718598953,2.142197479597805,2.491062176764519,1.288244064054569,2.626797596674653,0.14740765618053753,-4.847794680909676,374183.0,56.514330895353005,0.0,350376.0,49.54471825349337,0.0,0.1841286840139521,0.041948718869516816,2.6809799123158658e-05,-0.19206491035913992,7.127584957709243e-07,0.22654896284200543,False,False,0.0,0.0,0.38630919979397793,0.0014343242530889882,3.813257952374445e-05,increasing_Control_to_Adenoma_to_CRC,0.0
rCLR_Prevotella copri,Prevotella copri,664,209,671,0.1579220575259295,0.6140320197718471,0.24583811186254562,0.0,0.0,0.0,0.08791605433661612,5.188016747197816,369698.0,55.20132578346404,0.0,354861.0,50.857723365382334,0.0,0.39078744200360294,0.024837053130555006,0.02424183872540184,0.09190349916412059,0.12689976375948286,-0.0640549347898944,False,False,0.0,0.0,0.5889331872448664,0.19654364410324254,0.33117743225035773,increasing_Control_to_Adenoma_to_CRC,0.0
rCLR_Proteobacteria bacterium CAG:139,Proteobacteria bacterium CAG:139,664,209,671,-0.43773735493900845,-0.39840666562674026,-0.5221080657177902,0.0,0.0,0.0,-0.08437071077878178,-0.46616520056815003,354805.0,50.8413290986564,0.0,369754.0,55.21772005018997,0.0,0.3242810255107279,-0.02554180956314079,0.8266643883470014,-0.008272323744739725,0.6312078143281619,-0.017263386076626332,False,False,0.0,0.0,0.5257283292370892,0.9314195784864652,0.8042659408977536,increasing_Control_to_Adenoma_to_CRC,0.0
