comparison,stratum,species,feature,group1,group0,n_studies,total_n_group1,total_n_group0,effect_random,se_random,ci_low,ci_high,z_value,p_value,tau2_reml,q_statistic,q_df,q_p_value,i2_percent,direction,note,q_value,significant_fdr_0_05,abs_effect_random
Adenoma_vs_Control,All,Collinsella aerofaciens,rCLR_Collinsella aerofaciens,Adenoma,Control,5,209,425,0.07451144685118379,0.08763207882337674,-0.09724742764263462,0.2462703213450022,0.8502759246572512,0.3951716984666558,0.0,1.4770721077341618,4,0.8306949468772744,0.0,Higher in Adenoma,,0.9612512656175781,False,0.07451144685118379
Adenoma_vs_Control,All,Firmicutes bacterium CAG:145,rCLR_Firmicutes bacterium CAG:145,Adenoma,Control,5,209,425,-0.09273829575755556,0.10980478077653819,-0.3079556660795704,0.12247907456445929,-0.8445742990579405,0.39834856369229843,0.018109471502768176,5.06716062175413,4,0.28047555617853354,21.06032749727015,Higher in Control,,0.9612512656175781,False,0.09273829575755556
Adenoma_vs_Control,All,Phocaeicola plebeius,rCLR_Phocaeicola plebeius,Adenoma,Control,5,209,425,-0.09248540397976109,0.10988683567500163,-0.3078636019027643,0.12289279394324211,-0.8416422532476361,0.3999882306871013,0.018128094754965598,6.04102085924283,4,0.19610568370193843,33.78602568670236,Higher in Control,,0.9612512656175781,False,0.09248540397976109
Adenoma_vs_Control,All,Ruminococcus bromii,rCLR_Ruminococcus bromii,Adenoma,Control,5,209,425,-0.10615407123544687,0.12763768341517454,-0.356323930729189,0.14401578825829522,-0.8316828415802043,0.4055879882176594,0.03721552742557659,7.237928495044537,4,0.12383642265215691,44.73556898581399,Higher in Control,,0.9612512656175781,False,0.10615407123544687
Adenoma_vs_Control,All,Erysipelatoclostridium ramosum,rCLR_Erysipelatoclostridium ramosum,Adenoma,Control,5,209,425,-0.1212571881247349,0.1532347481028177,-0.4215972944062576,0.17908291815678778,-0.7913165233473909,0.42875930865160294,0.07094777674105054,10.060070756127654,4,0.039427864164699206,60.23884824504266,Higher in Control,,0.9612512656175781,False,0.1212571881247349
Adenoma_vs_Control,All,Firmicutes bacterium CAG:83,rCLR_Firmicutes bacterium CAG:83,Adenoma,Control,5,209,425,-0.06728427599656943,0.08762451813015729,-0.23902833153167768,0.10445977953853884,-0.7678704252230579,0.4425641694283854,0.0,2.045308880221929,4,0.727425484430957,0.0,Higher in Control,,0.9612512656175781,False,0.06728427599656943
Adenoma_vs_Control,All,Eubacterium sp. CAG:180,rCLR_Eubacterium sp. CAG:180,Adenoma,Control,5,209,425,-0.0791395477956768,0.10370702468663108,-0.2824053161814737,0.1241262205901201,-0.7631069161882794,0.4453996356968519,0.012442776845926087,5.027001570470954,4,0.28453816974919627,20.429704587793466,Higher in Control,,0.9612512656175781,False,0.0791395477956768
Adenoma_vs_Control,All,Intestinibacter bartlettii,rCLR_Intestinibacter bartlettii,Adenoma,Control,4,182,401,0.07785612861125925,0.10663122819847229,-0.13114107865774643,0.2868533358802649,0.7301437855179342,0.46530229962364056,0.009599610109375635,3.623541231411247,3,0.30508915695809885,17.20806226809233,Higher in Adenoma,,0.9612512656175781,False,0.07785612861125925
Adenoma_vs_Control,All,Fusicatenibacter saccharivorans,rCLR_Fusicatenibacter saccharivorans,Adenoma,Control,5,209,425,-0.06315931283720301,0.08757305729081136,-0.23480250512719325,0.10848387945278724,-0.7212185435922885,0.47077506440715744,0.0,0.5350049211512288,4,0.9700049903455955,0.0,Higher in Control,,0.9612512656175781,False,0.06315931283720301
Adenoma_vs_Control,All,Phascolarctobacterium succinatutens,rCLR_Phascolarctobacterium succinatutens,Adenoma,Control,5,209,425,0.09515748117497255,0.13203331222168627,-0.1636278107795325,0.35394277312947764,0.7207081271671913,0.4710891110405929,0.04273584501803469,8.251745334760159,4,0.08277974440659028,51.525406593073654,Higher in Adenoma,,0.9612512656175781,False,0.09515748117497255
