contrast,study,feature,n_group1_in_study,n_group0_in_study,mean_diff_clr_in_study
CRC_vs_Control__within_Female,GuptaA_2019,Butyrivibrio,12,18,-0.2863388162937297
CRC_vs_Control__within_Female,HanniganGD_2017,Butyrivibrio,7,17,1.1817596270479003
CRC_vs_Control__within_Female,KIM_ADENOMAS_2020,Butyrivibrio,16,40,0.0642881149652379
CRC_vs_Control__within_Female,SINHA_CRC_2016,Butyrivibrio,17,33,-0.03328816143325364
CRC_vs_Control__within_Female,ThomasAM_2018a,Butyrivibrio,6,11,-1.905108537874728
CRC_vs_Control__within_Female,ThomasAM_2018b,Butyrivibrio,9,12,-0.7040437919231315
CRC_vs_Control__within_Female,ThomasAM_2019_c,Butyrivibrio,19,16,0.3342741218250165
CRC_vs_Control__within_Female,VogtmannE_2016,Butyrivibrio,15,15,-3.556061226670756
CRC_vs_Control__within_Female,WirbelJ_2018,Butyrivibrio,24,28,-0.26720750683167793
CRC_vs_Control__within_Female,YachidaS_2019,Butyrivibrio,97,115,-0.2861733526898278
CRC_vs_Control__within_Female,YuJ_2015,Butyrivibrio,26,21,0.6088739933822489
CRC_vs_Control__within_Female,ZellerG_2014,Butyrivibrio,24,33,-1.106766786619851
CRC_vs_Control__within_Female,FengQ_2015,Ruthenibacterium,18,25,-0.7309751370031679
CRC_vs_Control__within_Female,GuptaA_2019,Ruthenibacterium,12,18,1.612178447109482
CRC_vs_Control__within_Female,HanniganGD_2017,Ruthenibacterium,7,17,0.08814253412565742
CRC_vs_Control__within_Female,KIM_ADENOMAS_2020,Ruthenibacterium,16,40,0.13260263977730347
CRC_vs_Control__within_Female,SINHA_CRC_2016,Ruthenibacterium,17,33,-0.03328816143325364
CRC_vs_Control__within_Female,ThomasAM_2018a,Ruthenibacterium,6,11,0.3108940107107738
CRC_vs_Control__within_Female,ThomasAM_2018b,Ruthenibacterium,9,12,0.4291872380192079
CRC_vs_Control__within_Female,ThomasAM_2019_c,Ruthenibacterium,19,16,1.5434987050806976
CRC_vs_Control__within_Female,VogtmannE_2016,Ruthenibacterium,15,15,0.2649054635620307
CRC_vs_Control__within_Female,WirbelJ_2018,Ruthenibacterium,24,28,1.0607430799732784
CRC_vs_Control__within_Female,YachidaS_2019,Ruthenibacterium,97,115,0.27202641960087104
CRC_vs_Control__within_Female,YuJ_2015,Ruthenibacterium,26,21,1.131703490957738
CRC_vs_Control__within_Female,ZellerG_2014,Ruthenibacterium,24,33,0.7989586102386477
