Model,Algorithm,Feature,Feature_Type,Species,MeanAbsSHAP_Mean,MeanAbsSHAP_Median,MeanSignedSHAP_Mean,MeanRank,MedianRank,BestRank,N_Folds_Evaluated,N_Folds_TopK,Total_Folds,StabilityScore,MeanAbsSHAP_Scaled,ConsensusScore,ConsensusRank
All,RandomForest,rCLR_Phocaeicola coprocola,rCLR,Phocaeicola coprocola,0.0020969210169225184,0.002029384964090777,-0.0009839961230529589,57.6,58.5,36,10,0,10,0.0,0.05868469587290824,0.02053964355551788,55
All,RandomForest,rCLR_Gemmiger formicilis,rCLR,Gemmiger formicilis,0.0019122005298631978,0.0019435833482023984,4.414600817751695e-05,61.5,58.0,37,10,0,10,0.0,0.05351508504012585,0.018730279764044046,56
All,RandomForest,rCLR_Holdemanella biformis,rCLR,Holdemanella biformis,0.0018515550908614412,0.0017847773822627796,-0.0005689619895940797,67.7,62.5,34,10,0,10,0.0,0.05181785414054705,0.018136248949191466,57
All,RandomForest,rCLR_Firmicutes bacterium CAG:83,rCLR,Firmicutes bacterium CAG:83,0.001849674340789256,0.0018312438282079174,0.0001763502438088188,64.5,57.5,38,10,0,10,0.0,0.05176521923197948,0.018117826731192815,58
All,RandomForest,rCLR_Gordonibacter pamelaeae,rCLR,Gordonibacter pamelaeae,0.0018395315736254576,0.001693499384404812,3.515675736875546e-05,68.1,67.0,39,10,0,10,0.0,0.051481362471751675,0.018018476865113084,59
All,RandomForest,rCLR_Bifidobacterium pseudocatenulatum,rCLR,Bifidobacterium pseudocatenulatum,0.001830196687918325,0.0017847591659937172,0.00039995919058157566,61.8,59.5,42,10,0,10,0.0,0.05122011518379448,0.01792704031432807,60
All,RandomForest,rCLR_Erysipelatoclostridium ramosum,rCLR,Erysipelatoclostridium ramosum,0.0018154960956898972,0.00181438193961051,-0.00034680476899895933,63.7,63.0,41,10,0,10,0.0,0.05080870255684536,0.017783045894895873,61
All,RandomForest,rCLR_Anaerotignum lactatifermentans,rCLR,Anaerotignum lactatifermentans,0.0018017111235519513,0.001654125419761507,0.00017363219589963363,72.7,65.5,31,10,0,10,0.0,0.05042291458915208,0.017648020106203227,62
All,RandomForest,rCLR_Anaerobutyricum hallii,rCLR,Anaerobutyricum hallii,0.0017261431519430587,0.0015690215652695463,0.0010075181369929441,76.6,72.5,36,10,0,10,0.0,0.048308059811212535,0.016907820933924386,63
All,RandomForest,rCLR_Agathobaculum butyriciproducens,rCLR,Agathobaculum butyriciproducens,0.001723501592657566,0.0015952601880131483,7.626323111914078e-05,70.3,71.5,41,10,0,10,0.0,0.048234132800109894,0.016881946480038462,64
