comparison,stratum,species,feature,study,group1,group0,n_group1,n_group0,mean_group1,mean_group0,sd_group1,sd_group0,hedges_g,variance,se
CRC_vs_Control,All,Collinsella aerofaciens,rCLR_Collinsella aerofaciens,WirbelJ_2018,CRC,Control,60,65,1.3327355084221757,1.219358867453021,1.5296306108982758,1.7748816449130016,0.06780981661901705,0.03206997380424914,0.17908091412612664
CRC_vs_Control,All,Collinsella aerofaciens,rCLR_Collinsella aerofaciens,YachidaS_2019,CRC,Control,258,251,1.156457296015675,0.8790834872800543,1.2573339409723794,1.2350723956922125,0.22220943264454265,0.00790872803505517,0.08893102965250752
CRC_vs_Control,All,Collinsella aerofaciens,rCLR_Collinsella aerofaciens,YuJ_2015,CRC,Control,74,54,1.2914675425961555,0.7118134749628069,2.229057810834413,2.1202696821673346,0.2638314708244822,0.032308250464561435,0.17974495949695343
CRC_vs_Control,All,Collinsella aerofaciens,rCLR_Collinsella aerofaciens,ZellerG_2014,CRC,Control,53,61,0.3554416397632399,-0.022629964034144034,2.1719189454577243,2.5693181612275198,0.1569281577133861,0.03537130664537466,0.1880726100349933
CRC_vs_Control,All,Bifidobacterium longum,rCLR_Bifidobacterium longum,FengQ_2015,CRC,Control,46,61,1.547074820460276,2.0165896049003935,2.4331875328965507,2.1542003576787296,-0.20463674881298438,0.03833198352899413,0.1957855549548897
CRC_vs_Control,All,Bifidobacterium longum,rCLR_Bifidobacterium longum,HanniganGD_2017,CRC,Control,27,28,1.0279509306622812,0.7758511352250126,1.3618805898027448,1.6631167755184357,0.16319585218722163,0.07300257639444646,0.2701898895118884
CRC_vs_Control,All,Bifidobacterium longum,rCLR_Bifidobacterium longum,ThomasAM_2018a,CRC,Control,29,24,-0.3367239104889444,0.5294480159770321,1.8368319640304172,2.3105720965337877,-0.41345811251549447,0.07782538225603157,0.27897200980749226
CRC_vs_Control,All,Bifidobacterium longum,rCLR_Bifidobacterium longum,ThomasAM_2018b,CRC,Control,32,28,1.374192316827636,1.6192737614171644,1.338298659935837,1.392300923742363,-0.17738352338716457,0.06723553497608954,0.2592981584510186
CRC_vs_Control,All,Bifidobacterium longum,rCLR_Bifidobacterium longum,ThomasAM_2019_c,CRC,Control,40,40,0.5846156832215078,0.5943980114745961,1.517162097100811,2.088898446881739,-0.005306869862141311,0.05000018053120343,0.2236072014296575
CRC_vs_Control,All,Bifidobacterium longum,rCLR_Bifidobacterium longum,VogtmannE_2016,CRC,Control,52,52,-0.11392764029289218,-0.1514304411048096,1.4009890392344027,1.8721916568894725,0.02251419854654089,0.03846402321220608,0.1961224699319435
CRC_vs_Control,All,Bifidobacterium longum,rCLR_Bifidobacterium longum,WirbelJ_2018,CRC,Control,60,65,0.5236008183483511,0.6336422787214115,2.0146041236801517,2.010701883749363,-0.05434288370631253,0.03206328672205245,0.1790622425919335
CRC_vs_Control,All,Bifidobacterium longum,rCLR_Bifidobacterium longum,YachidaS_2019,CRC,Control,258,251,0.09253611081987889,0.33617624908903027,1.4947480688392425,1.5265663192488137,-0.16105667953623867,0.007885613855634094,0.08880097891146299
CRC_vs_Control,All,Bifidobacterium longum,rCLR_Bifidobacterium longum,YuJ_2015,CRC,Control,74,54,0.40733036244438375,0.5797158785759491,2.0327788702567178,1.661762593137006,-0.09087526224918087,0.03206480311651162,0.1790664768082279
CRC_vs_Control,All,Bifidobacterium longum,rCLR_Bifidobacterium longum,ZellerG_2014,CRC,Control,53,61,0.19364575336422613,0.7057115145239874,1.7335985883219516,1.8749159236217956,-0.28090555646876497,0.035613634703284075,0.18871575107362945
CRC_vs_Control,All,Phocaeicola plebeius,rCLR_Phocaeicola plebeius,FengQ_2015,CRC,Control,46,61,-0.18571540132575756,-0.10496817313867604,0.9315099744127847,0.6685508371046351,-0.10122214787566775,0.03818136316830754,0.1954005198772704
CRC_vs_Control,All,Phocaeicola plebeius,rCLR_Phocaeicola plebeius,HanniganGD_2017,CRC,Control,27,28,-0.21919906556138052,-0.07469901979511197,0.6625801182015082,0.39527005911631463,-0.2622822906330868,0.07340030388320708,0.2709249045089932
CRC_vs_Control,All,Phocaeicola plebeius,rCLR_Phocaeicola plebeius,ThomasAM_2018a,CRC,Control,29,24,0.3835815834753117,0.41290831386765364,0.9102335768933897,1.3608003235011397,-0.025439238705727684,0.07615576994290463,0.2759633489123232
CRC_vs_Control,All,Phocaeicola plebeius,rCLR_Phocaeicola plebeius,ThomasAM_2018b,CRC,Control,32,28,0.3506088774909258,0.4643438902041077,1.0246113678497217,1.0084579777035068,-0.1103680363419988,0.06706929522675113,0.2589774029268792
CRC_vs_Control,All,Phocaeicola plebeius,rCLR_Phocaeicola plebeius,ThomasAM_2019_c,CRC,Control,40,40,0.5039280680916649,0.8973059170766208,2.0216425299485508,1.7696510110091261,-0.2050622097285427,0.05026955455037662,0.22420872987102133
CRC_vs_Control,All,Phocaeicola plebeius,rCLR_Phocaeicola plebeius,VogtmannE_2016,CRC,Control,52,52,-0.015736522026593276,-0.26604734915657896,1.6808608119468056,1.9957810225685257,0.13466599445189645,0.03855043517752728,0.1963426473732268
CRC_vs_Control,All,Phocaeicola plebeius,rCLR_Phocaeicola plebeius,WirbelJ_2018,CRC,Control,60,65,0.1042714925123116,-0.07472481327899641,0.9532633801886322,1.864861382007091,0.11872252644277166,0.032108578954879424,0.17918866860066635
CRC_vs_Control,All,Phocaeicola plebeius,rCLR_Phocaeicola plebeius,YachidaS_2019,CRC,Control,258,251,1.2987718959210894,1.0711251145472462,2.106102138679358,1.867957577181586,0.11409793068283462,0.007872871334690177,0.08872920226560237
CRC_vs_Control,All,Phocaeicola plebeius,rCLR_Phocaeicola plebeius,YuJ_2015,CRC,Control,74,54,-0.08652126674784172,0.5764701515996746,2.292115985915905,2.245843717421348,-0.28997129085912615,0.03236569611743881,0.17990468620199643
CRC_vs_Control,All,Phocaeicola plebeius,rCLR_Phocaeicola plebeius,ZellerG_2014,CRC,Control,53,61,-0.08815031190851191,0.23873643758826646,1.637533865359057,1.790890259014966,-0.18862260645891296,0.03542019968548196,0.18820254962534902
CRC_vs_Control,All,Phocaeicola vulgatus,rCLR_Phocaeicola vulgatus,FengQ_2015,CRC,Control,46,61,1.6026487357197516,0.3087540296135429,2.1389111097489173,2.3422596218685805,0.5690867742321699,0.03967476237490474,0.1991852463786029
CRC_vs_Control,All,Phocaeicola vulgatus,rCLR_Phocaeicola vulgatus,HanniganGD_2017,CRC,Control,27,28,-0.23545272793718053,-0.3929366877830522,1.0098907782991333,1.4073270901921542,0.12636628193216257,0.0729019683853733,0.2700036451334932
CRC_vs_Control,All,Phocaeicola vulgatus,rCLR_Phocaeicola vulgatus,ThomasAM_2018a,CRC,Control,29,24,2.0318286028954464,2.1589532216143414,1.701262443124269,1.5812548904643589,-0.0759884397310812,0.0762060355125795,0.2760544067979707
CRC_vs_Control,All,Phocaeicola vulgatus,rCLR_Phocaeicola vulgatus,ThomasAM_2018b,CRC,Control,32,28,1.447462065009323,1.598842149888944,1.8275627544018842,2.0815764014441784,-0.07662531605710442,0.06701490156825857,0.25887236540090286
CRC_vs_Control,All,Phocaeicola vulgatus,rCLR_Phocaeicola vulgatus,ThomasAM_2019_c,CRC,Control,40,40,2.1183046156894982,2.5609755897058646,2.1330879278265686,1.9545804772653592,-0.21429497897761274,0.05029437396163472,0.22426407193671197
CRC_vs_Control,All,Phocaeicola vulgatus,rCLR_Phocaeicola vulgatus,VogtmannE_2016,CRC,Control,52,52,3.095812679967015,2.5506448599994824,2.4866242140044483,2.4691402891888847,0.2183905291911546,0.038695334653893326,0.19671129772815116
CRC_vs_Control,All,Phocaeicola vulgatus,rCLR_Phocaeicola vulgatus,WirbelJ_2018,CRC,Control,60,65,2.206340404820773,2.0042499916895027,2.687348838668304,2.156009902085903,0.08281172166093355,0.03207915921081232,0.17910655825740252
CRC_vs_Control,All,Phocaeicola vulgatus,rCLR_Phocaeicola vulgatus,YachidaS_2019,CRC,Control,258,251,2.317025242109709,2.2937643696193137,1.9627419783526738,2.1138124624629135,0.011393142194930882,0.00786016074879567,0.08865754761324988
CRC_vs_Control,All,Phocaeicola vulgatus,rCLR_Phocaeicola vulgatus,YuJ_2015,CRC,Control,74,54,2.2155046782073606,2.1940269235931766,2.531020903738996,2.7310981829912957,0.008157925211209817,0.03203229612625327,0.17897568585216614
CRC_vs_Control,All,Phocaeicola vulgatus,rCLR_Phocaeicola vulgatus,ZellerG_2014,CRC,Control,53,61,2.3579877005716168,2.6322147584987796,2.1573474353152076,1.5572175271150126,-0.14643759530170902,0.03535709915713551,0.18803483495654605
CRC_vs_Control,All,Dorea longicatena,rCLR_Dorea longicatena,FengQ_2015,CRC,Control,46,61,1.8230922646748828,1.935396061188335,2.144947398924467,1.593078270212851,-0.06027452824998065,0.038149873147046556,0.1953199251153004
CRC_vs_Control,All,Dorea longicatena,rCLR_Dorea longicatena,HanniganGD_2017,CRC,Control,27,28,0.8224454386539548,0.802606022133321,1.4465996005872666,1.3216977336298166,0.014127155187046242,0.07275320554862161,0.26972802143756147
