Model,Algorithm,Feature,Feature_Type,Species,MeanAbsSHAP_Mean,MeanAbsSHAP_Median,MeanSignedSHAP_Mean,MeanRank,MedianRank,BestRank,N_Folds_Evaluated,N_Folds_TopK,Total_Folds,StabilityScore,MeanAbsSHAP_Scaled,ConsensusScore,ConsensusRank
All,LASSO,PA_Anaerotignum lactatifermentans,PA,Anaerotignum lactatifermentans,0.10720180099585144,0.09385215147578815,-0.015577595684564549,71.1,67.5,36,10,0,10,0.0,0.10821486597777043,0.037875203092219645,64
All,LASSO,PA_Bacteroides thetaiotaomicron,PA,Bacteroides thetaiotaomicron,0.10633219986315498,0.10882881132234765,0.012856020061050289,69.4,71.0,37,10,0,10,0.0,0.1073370470497796,0.03756796646742286,65
All,LASSO,rCLR_Dialister invisus,rCLR,Dialister invisus,0.10570076242850195,0.09402584096884414,0.004511537951019321,69.0,77.0,36,10,0,10,0.0,0.10669964248446852,0.037344874869563977,66
All,LASSO,PA_Roseburia inulinivorans,PA,Roseburia inulinivorans,0.1044109374947566,0.10156006443318386,-0.008375162349297634,72.6,68.5,21,10,0,10,0.0,0.1053976286092964,0.03688917001325374,67
All,LASSO,PA_Phocaeicola coprocola,PA,Phocaeicola coprocola,0.10335943748413642,0.10114479088165398,-0.0025688874139050315,73.8,68.0,35,10,0,10,0.0,0.10433619184547477,0.036517667145916165,68
All,LASSO,rCLR_[Eubacterium] siraeum,rCLR,[Eubacterium] siraeum,0.1022962376787137,0.10525038802516282,-0.012279890369739772,77.4,63.0,29,10,0,10,0.0,0.10326294472292069,0.03614203065302224,69
All,LASSO,PA_Clostridium sp. CAG:58,PA,Clostridium sp. CAG:58,0.10225992250005311,0.0958303183615761,-0.004252728833771905,71.7,71.0,35,10,0,10,0.0,0.10322628636312443,0.03612920022709355,70
All,LASSO,rCLR_Parabacteroides merdae,rCLR,Parabacteroides merdae,0.10081200750362448,0.10302879233293746,0.014417428222544455,69.6,62.5,56,10,0,10,0.0,0.10176468846243439,0.035617640961852035,71
All,LASSO,rCLR_Firmicutes bacterium CAG:110,rCLR,Firmicutes bacterium CAG:110,0.10062093389243192,0.10183580735091112,0.010927977686225065,78.0,61.5,38,10,0,10,0.0,0.10157180919142389,0.03555013321699836,72
All,LASSO,PA_Coprococcus comes,PA,Coprococcus comes,0.10013026908044693,0.10108895198442824,0.02944633726459033,76.1,69.5,35,10,0,10,0.0,0.10107650756052108,0.03537677764618238,73
All,LASSO,PA_Bacteroides salyersiae,PA,Bacteroides salyersiae,0.09957882991339237,0.09822015728691205,-0.00362946740599666,77.1,67.0,32,10,0,10,0.0,0.10051985725237923,0.03518195003833273,74
All,LASSO,PA_Lachnospira pectinoschiza,PA,Lachnospira pectinoschiza,0.09360613519924273,0.0956867763028925,-0.007343577803544711,84.2,65.5,42,10,0,10,0.0,0.09449072012955372,0.0330717520453438,75
All,LASSO,PA_Bifidobacterium bifidum,PA,Bifidobacterium bifidum,0.0930326648747593,0.0996961270293551,-0.005351003405223558,83.7,73.5,38,10,0,10,0.0,0.0939118304679089,0.03286914066376811,76
All,LASSO,rCLR_Erysipelatoclostridium ramosum,rCLR,Erysipelatoclostridium ramosum,0.09293294367824169,0.0792248587158587,0.007563494734164207,86.6,85.5,43,10,0,10,0.0,0.09381116689867731,0.03283390841453706,77
All,LASSO,PA_Enterocloster bolteae,PA,Enterocloster bolteae,0.09140507049313612,0.07782748848793491,0.006883436444253129,85.8,78.0,31,10,0,10,0.0,0.09226885519848838,0.03229409931947093,78
All,LASSO,rCLR_Lachnospira pectinoschiza,rCLR,Lachnospira pectinoschiza,0.09128126907236798,0.09094396927756643,0.006695198450034992,84.2,78.5,28,10,0,10,0.0,0.09214388384509853,0.032250359345784484,79
All,LASSO,PA_Parasutterella excrementihominis,PA,Parasutterella excrementihominis,0.08825299281353127,0.07655028641861229,0.0030787764234225952,94.3,96.5,30,10,0,10,0.0,0.08908699015068791,0.031180446552740767,80
All,LASSO,rCLR_Phocaeicola vulgatus,rCLR,Phocaeicola vulgatus,0.08748893285172336,0.09383776313882877,0.0006204191726837248,81.6,68.5,51,10,0,10,0.0,0.08831570976548969,0.03091049841792139,81
All,LASSO,PA_Dorea longicatena,PA,Dorea longicatena,0.08701396035771439,0.08211421203968419,-0.011091891032065936,85.3,77.0,39,10,0,10,0.0,0.08783624874613334,0.03074268706114667,82
All,LASSO,PA_Eubacterium ramulus,PA,Eubacterium ramulus,0.08275494206194202,0.068702875453183,-0.004011058951271286,101.2,95.0,35,10,0,10,0.0,0.08353698241112359,0.029237943843893253,83
All,LASSO,PA_Proteobacteria bacterium CAG:139,PA,Proteobacteria bacterium CAG:139,0.08007657078844342,0.06491778556262208,-0.005791179269829227,119.0,114.0,28,10,0,10,0.0,0.08083330033015204,0.02829165511555321,84
All,LASSO,rCLR_Bacteroides stercoris,rCLR,Bacteroides stercoris,0.07996882523510375,0.07863812344094137,0.024318010095666635,91.4,83.5,50,10,0,10,0.0,0.08072453657333041,0.02825358780066564,85
All,LASSO,rCLR_Anaerobutyricum hallii,rCLR,Anaerobutyricum hallii,0.07902118204843209,0.06801530498253498,0.04098698467349267,100.9,94.5,32,10,0,10,0.0,0.07976793808815767,0.027918778330855182,86
All,LASSO,PA_Alistipes shahii,PA,Alistipes shahii,0.07848562705124477,0.08234688667361426,0.014256824263235764,98.7,87.0,55,10,0,10,0.0,0.07922732205646811,0.027729562719763838,87
All,LASSO,rCLR_Faecalibacterium prausnitzii,rCLR,Faecalibacterium prausnitzii,0.07833698908905956,0.07591266088715545,0.00339318922089456,97.8,93.5,27,10,0,10,0.0,0.07907727945450004,0.02767704780907501,88
All,LASSO,rCLR_Gemmiger formicilis,rCLR,Gemmiger formicilis,0.07715515951166099,0.06874384491148339,-0.00955323465215318,92.5,88.5,53,10,0,10,0.0,0.07788428149981362,0.027259498524934766,89
All,LASSO,PA_Adlercreutzia equolifaciens_1,PA,Adlercreutzia equolifaciens_1,0.07649719944756449,0.0833798319203782,-0.005788505811704384,100.0,82.5,32,10,0,10,0.0,0.07722010366424084,0.027027036282484294,90
All,LASSO,rCLR_Bacteroides xylanisolvens,rCLR,Bacteroides xylanisolvens,0.07457974723745213,0.07726321480167692,0.012365193428267595,94.8,83.0,64,10,0,10,0.0,0.07528453138832247,0.026349585985912864,91
All,LASSO,rCLR_Bacteroides finegoldii,rCLR,Bacteroides finegoldii,0.07377729208303815,0.0723138225260046,-0.0164243345439491,93.9,94.5,68,10,0,10,0.0,0.07447449297309622,0.026066072540583674,92
All,LASSO,PA_Bacteroides ovatus,PA,Bacteroides ovatus,0.0733054599563677,0.05788905741693446,0.012060551095369267,114.6,108.0,23,10,0,10,0.0,0.07399820199778298,0.02589937069922404,93
All,LASSO,rCLR_Agathobaculum butyriciproducens,rCLR,Agathobaculum butyriciproducens,0.07216931391382249,0.056918605292087324,0.007737898815633292,99.1,100.5,45,10,0,10,0.0,0.07285131929074747,0.02549796175176161,94
All,LASSO,rCLR_Klebsiella quasipneumoniae,rCLR,Klebsiella quasipneumoniae,0.07182049028058035,0.056071148413896627,0.011511551020133643,100.5,102.0,51,10,0,10,0.0,0.07249919924826201,0.0253747197368917,95
All,LASSO,rCLR_Bacteroides cellulosilyticus,rCLR,Bacteroides cellulosilyticus,0.07135834758557802,0.05143686202648043,-0.0026809097781326234,108.9,116.0,21,10,0,10,0.0,0.07203268927046586,0.025211441244663048,96
All,LASSO,rCLR_Roseburia intestinalis,rCLR,Roseburia intestinalis,0.07102540623285707,0.06672063008321465,-0.0007666275556812722,96.7,89.5,54,10,0,10,0.0,0.07169660159723217,0.025093810559031256,97
