feature,species,group_a,group_b,n_group_a,n_group_b,n_blocks,blocks,z,p_value,median_group_a,median_group_b,median_difference_a_minus_b,direction,comparison,test,blocking_variable,filter_sex,filter_condition,note,p_adj_BH,significant_FDR_0_05
rCLR_Gordonibacter pamelaeae,Gordonibacter pamelaeae,Adenoma,Control,209,425,5,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,1.2153219222065894,0.2242433339277764,-0.8680270501030809,-1.508765305330472,0.640738255227391,higher_in_Adenoma,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.761996331542459,False
rCLR_Intestinibacter bartlettii,Intestinibacter bartlettii,Adenoma,Control,182,401,4,FengQ_2015;HanniganGD_2017;YachidaS_2019;ZellerG_2014,1.2153119274921917,0.22424714445449712,0.0,0.0,0.0,no_median_difference,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.761996331542459,False
rCLR_Lachnospira eligens,Lachnospira eligens,Adenoma,Control,209,425,5,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,-1.1938897046730748,0.232521115275919,0.0,0.5778391266882336,-0.5778391266882336,higher_in_Control,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.761996331542459,False
rCLR_Phocaeicola vulgatus,Phocaeicola vulgatus,Adenoma,Control,209,425,5,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,-1.1867526172640133,0.23532521368974268,1.288244064054569,2.491062176764519,-1.20281811270995,higher_in_Control,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.761996331542459,False
rCLR_Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,Adenoma,Control,209,425,5,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,-1.1830608931909976,0.23678501515661365,2.689282189799794,2.8501248392760936,-0.16084264947629956,higher_in_Control,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.761996331542459,False
rCLR_Eubacterium sp. CAG:180,Eubacterium sp. CAG:180,Adenoma,Control,209,425,5,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,-1.1811848026435638,0.23752931717151993,0.0,0.0,0.0,no_median_difference,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.761996331542459,False
rCLR_Holdemanella biformis,Holdemanella biformis,Adenoma,Control,209,425,5,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,-1.163357523691894,0.24468447572229712,0.0,0.0,0.0,no_median_difference,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.761996331542459,False
rCLR_Prevotella copri,Prevotella copri,Adenoma,Control,209,425,5,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,1.1361217298904656,0.2559056218774607,0.0,0.0,0.0,no_median_difference,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.761996331542459,False
rCLR_Akkermansia muciniphila,Akkermansia muciniphila,Adenoma,Control,209,425,5,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,1.1259416674385119,0.26019021094516326,0.0,0.0,0.0,no_median_difference,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.761996331542459,False
rCLR_Acidaminococcus intestini,Acidaminococcus intestini,Adenoma,Control,209,425,5,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,-1.116032554668629,0.26440819989039976,0.0,0.0,0.0,no_median_difference,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.761996331542459,False
