feature,species,group_a,group_b,n_group_a,n_group_b,n_blocks,blocks,z,p_value,median_group_a,median_group_b,median_difference_a_minus_b,direction,comparison,test,blocking_variable,filter_sex,filter_condition,note,p_adj_BH,significant_FDR_0_05
rCLR_Odoribacter splanchnicus,Odoribacter splanchnicus,CRC,Control,671,664,10,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,2.7623461281420036,0.005738760464082522,0.019679301938924,0.0,0.019679301938924,higher_in_CRC,CRC_vs_Control_all,van_elteren_blocked_wilcoxon,Study,,,ok,0.04093649131045533,True
rCLR_Prevotella copri,Prevotella copri,Male,Female,426,245,10,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,4.164712581266606,3.1174504067130934e-05,0.0,0.0,0.0,no_median_difference,Male_vs_Female_within_CRC,van_elteren_blocked_wilcoxon,Study,,CRC,ok,0.0020726469957645165,True
rCLR_Phascolarctobacterium succinatutens,Phascolarctobacterium succinatutens,Male,Female,426,245,10,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,4.114862278911045,3.8741065341392826e-05,0.0,0.0,0.0,no_median_difference,Male_vs_Female_within_CRC,van_elteren_blocked_wilcoxon,Study,,CRC,ok,0.0020726469957645165,True
rCLR_Collinsella aerofaciens,Collinsella aerofaciens,Male,Female,426,245,10,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,3.759756735220737,0.00017007865860949902,1.5689650737844842,1.077392941148039,0.4915721326364453,higher_in_Male,Male_vs_Female_within_CRC,van_elteren_blocked_wilcoxon,Study,,CRC,ok,0.004987498695559054,True
rCLR_Bacteroides xylanisolvens,Bacteroides xylanisolvens,Male,Female,426,245,10,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,-3.7367035166174336,0.00018644854936669358,0.0,0.0,0.0,no_median_difference,Male_vs_Female_within_CRC,van_elteren_blocked_wilcoxon,Study,,CRC,ok,0.004987498695559054,True
rCLR_Collinsella aerofaciens,Collinsella aerofaciens,Male,Female,371,293,10,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,4.150393018698235,3.319048729329002e-05,1.226993653165482,0.9760473649548989,0.25094628821058307,higher_in_Male,Male_vs_Female_within_Control,van_elteren_blocked_wilcoxon,Study,,Control,ok,0.0035513821403820325,True
rCLR_Phascolarctobacterium succinatutens,Phascolarctobacterium succinatutens,Male,Female,371,293,10,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,3.966195738049799,7.302889621666056e-05,0.0,0.0,0.0,no_median_difference,Male_vs_Female_within_Control,van_elteren_blocked_wilcoxon,Study,,Control,ok,0.00390704594759134,True
rCLR_Dorea formicigenerans,Dorea formicigenerans,Male,Female,371,293,10,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,3.525018928227664,0.0004234525330901457,0.0493002550390049,0.0,0.0493002550390049,higher_in_Male,Male_vs_Female_within_Control,van_elteren_blocked_wilcoxon,Study,,Control,ok,0.015103140346881863,True
rCLR_Coprobacter fastidiosus,Coprobacter fastidiosus,Male,Female,360,276,9,FengQ_2015;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,-3.2328158912542246,0.001225765319467025,0.0,0.0,0.0,no_median_difference,Male_vs_Female_within_Control,van_elteren_blocked_wilcoxon,Study,,Control,ok,0.028027485788507372,True
rCLR_Roseburia inulinivorans,Roseburia inulinivorans,Male,Female,371,293,10,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,3.2138467386216174,0.0013096955975938024,0.8459518347265913,0.0319779136082893,0.813973921118302,higher_in_Male,Male_vs_Female_within_Control,van_elteren_blocked_wilcoxon,Study,,Control,ok,0.028027485788507372,True
