feature,mean,std,min,max
Allisonella,-1.8892117395070172,1.744745878556249,-5.3710042413774834,4.553116381082514
Tractidigestivibacter,-2.034850940425054,1.5545595835597095,-5.3710042413774834,6.1244355763786125
Enterococcus,-1.7063462612313116,2.197199615300657,-5.356034878570883,8.532661567905826
Lactococcus,-1.9120001070873924,1.7966179500214763,-5.645218869082958,7.347625181778401
Lacrimispora,-1.8494387244492012,1.8842222101066128,-5.645218869082958,8.83749033418027
Megamonas,-1.60375924508892,2.5733795597182545,-5.645218869082958,8.424151854152925
Monoglobus,-1.8749766711264726,2.071429737013945,-5.645218869082958,7.590858528230179
Dielma,-2.085080380728357,1.5152962509916863,-5.645218869082958,4.7346652100726185
Peptostreptococcus,-1.9826963569496965,1.7561798398076676,-5.356034878570883,6.377325755533006
Catenibacterium,-1.8410086156475027,2.206836664437233,-5.356034878570883,8.2487616735508
Lachnoclostridium,-2.152879235900201,1.4520727818062646,-5.356034878570883,5.260798044575621
Coprobacillus,-2.0671024598158225,1.6572261694169357,-5.645218869082958,5.594336934595646
Harryflintia,-2.1996068892881877,1.3617038911010855,-5.645218869082958,3.609419393805729
Limosilactobacillus,-2.009843487168327,1.9138418247681988,-5.645218869082958,10.00510577776458
Faecalitalea,-1.9872074483834516,1.9073670499115114,-5.3710042413774834,7.855203176103544
Romboutsia,-2.2903742575166017,1.2915319305005948,-5.356034878570883,3.374334169724356
Lancefieldella,-2.266917216975831,1.389796535954886,-5.3710042413774834,4.383186428970332
Ligilactobacillus,-2.047988700199895,1.9160053464074696,-5.645218869082958,9.130982209475256
Citrobacter,-2.078083631484083,1.9198255843558396,-5.645218869082958,9.832429804292415
Butyrivibrio,-1.910074958749626,2.3217253046217965,-5.3710042413774834,8.40789036691356
